"Bot Name:","TravelGenie"
"Report name:","bookFlightTestCase"
"Bot Language:","en"
"Run Type:","inDevelopment"
"Notes:",""
"Threshold Setting","Mode","minThreshold","maxThreshold","exactMatchThreshold","isActive","taskMatchTolerance","wordCoverage","suggestionsCount","pathCoverage"
"","ml","0.6","80","90","true","","","",""
"","faq","60","80","95","true","5","","3","50"
"","cs","60","80","","true","2","60","",""
"","rr","","","","true","2","","",""
"","extnlu","","","","true","","","",""
"Last tested date and time:","04-20-2025 10:26:09 PM"
"Utterance count:","33"
"Percentage breakdown:","100.00% True Positive","0.00% True Negative","0.00% False Positive","0.00% False Negative"
"Success / Failure Ratio:","100.00"
"F1 Score:","1.00"
"Precision:","1.00"
"Recall:","1.00"
"Total Entities Count:","0"
"Matched Entities Count:","0"
"Entities Success / Failure Ration:","0.00"
"Utterance","ExpectedIntent","MatchedIntent","Parent Intent","TaskState","ResultType","Entity Name","Expected EntityValue","Matched EntityValue","Entity Result","Expected Entity Order","Actual Entity Order","EntityIdentifiedBy","entityIdentifiedUsing","entityNERConfidenceScore","Matched Intent's Score","Expected Intent's Score"
"Can you help me book a flight for next Friday?","Book Flight","book flight","None","configured","TP","","","","","","contactNumber","","","","ML: 99; FM: 10793.33; RR: 9900","ML: 99; FM: 10793.33; RR: 9900"
"Book a flight for my business meeting in Chennai","Book Flight","book flight","None","configured","TP","","","","","","contactNumber","","","","ML: 100; FM: 11576.67; RR: 100","ML: 100; FM: 11576.67; RR: 100"
"I need to make a new flight reservation","Book Flight","book flight","None","configured","TP","","","","","","contactNumber","","","","ML: 0.708; RR: 70.8","ML: 0.708; RR: 70.8"
"Can you check my flight reservation details?","Fetch Booking Details","fetch booking details","None","configured","TP","","","","","","mobileNumber","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Help me book a direct flight to Kolkata","Book Flight","book flight","None","configured","TP","","","","","","contactNumber","","","","ML: 100; FM: 10765.56; RR: 100","ML: 100; FM: 10765.56; RR: 100"
"Book me a flight ticket to Hyderabad for tomorrow","Book Flight","book flight","None","configured","TP","","","","","","contactNumber","","","","ML: 100; FM: 10995.71; RR: 100","ML: 100; FM: 10995.71; RR: 100"
"Can I book a morning flight to Lucknow?","Book Flight","book flight","None","configured","TP","","","","","","contactNumber","","","","ML: 99; FM: 11165.56; RR: 9900","ML: 99; FM: 11165.56; RR: 9900"
"Help me retrieve my booking information","Fetch Booking Details","fetch booking details","None","configured","TP","","","","","","mobileNumber","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"I want to schedule a round trip to Mumbai","Book Flight","book flight","None","configured","TP","","","","","","contactNumber","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Show me my travel booking details","Fetch Booking Details","fetch booking details","None","configured","TP","","","","","","mobileNumber","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"I want to book my flight as soon as possible","Book Flight","book flight","None","configured","TP","","","","","","contactNumber","","","","ML: 0.727; FM: 10951.27; RR: 10951.27","ML: 0.727; FM: 10951.27; RR: 10951.27"
"Please help me schedule a flight for next month","Book Flight","book flight","None","configured","TP","","","","","","contactNumber","","","","ML: 0.702; FM: 10851.27; RR: 10851.27","ML: 0.702; FM: 10851.27; RR: 10851.27"
"I�d like to book a flight to Ahmedabad","Book Flight","book flight","None","configured","TP","","","","","","contactNumber","","","","ML: 97; FM: 10951.27; RR: 9700","ML: 97; FM: 10951.27; RR: 9700"
